c_custkey,c_name,c_address,c_nationkey,c_phone,c_acctbal,c_mktsegment,c_comment
99,Customer#000000099,szsrOiPtCHVS97Lt,15,25-515-237-9232,4088.65,HOUSEHOLD,"cajole slyly about the regular theodolites! furiously bold requests nag along the pending, regular packages. somas"
413,Customer#000000413,",4Jm5N0ruhJCB7cBR6Kw",6,16-158-285-7336,5817.9,FURNITURE,ular packages integrate furiously fluffily final accounts. carefully regular 
846,Customer#000000846,EWQcGkx0CU5ZGUNcTV9bBCQ4qnuKsHC,18,28-766-714-9136,7650.73,MACHINERY,"s. quickly thin requests against the ironic, bold requests haggle above the final foxe"
912,Customer#000000912,dQA12NEPQK1A5mvD,14,24-348-437-3105,3861.36,FURNITURE,sits use slyly carefully final dependen
976,Customer#000000976,I78UJ2ks3sbcd0c2NQ7aH,19,29-436-660-4732,7772.85,BUILDING,"special requests wake carefully regular somas. special theodolites wake regular, unusual pinto beans. furi"
1317,Customer#000001317,a6M1wdC44LW,14,24-518-294-8197,8925.08,AUTOMOBILE,s haggle furiously slyly final accounts. slyly bold pac
1356,Customer#000001356,3SLzAiW4PihnFUE243 AHKkwtL1PCj,5,15-656-712-5740,927.39,HOUSEHOLD,fully pending deposits. carefully unusual accounts
1412,Customer#000001412,gfsI6WU i7kYypv09gGIqUFrUod9uhb,10,20-715-510-2804,6368.38,BUILDING,"fully regular accounts print ironic, regular platelets. deposits promise slyly. express, ironic ideas "
1479,Customer#000001479,"KDZMMuMVSWQPkGpoTUE0G 1vXHd3mS4c,A,kFR",16,26-203-849-3685,9793.29,BUILDING,arefully final ideas. unusual accounts sleep. final packages wake. fluffily bold dependencies hang slyly. bl
1580,Customer#000001580,"Uc5lBMkU8F1zW56P Bo,8fbVlyCKs",13,23-651-166-3240,5587.12,BUILDING,"ts before the ironic packages sleep furiously regular, bold dependencies: dolphins "
1603,Customer#000001603,JHju hD17jZDMXprwVfC,11,21-880-121-2298,-149.21,HOUSEHOLD,tect slyly quickly regular accounts. daringly bold deposits are blithely blithe
1680,Customer#000001680,jYhr0a6R8XTw8RR3XJQ1kToU5H,18,28-465-621-9214,-203.01,HOUSEHOLD,ithely unusual patterns above the unusual ideas cajole blithely according to the fluffily expre
2075,Customer#000002075,tGjjK7CQkSvdMa1H381OTUYFH,0,10-324-357-1257,6872.54,HOUSEHOLD,anent ideas nag carefully regular foxes. pinto beans h
2129,Customer#000002129,UpoLuf0PoOZ5C0U9beqfO4e0KeadLyf,7,17-343-384-2477,4629.76,BUILDING,tes haggle fluffily about the furiously bold packages; slyly even attainments besi
2139,Customer#000002139,fINFUSI2FkjF,4,14-739-827-8411,-923.18,FURNITURE,requests wake around the even packages. carefully ironic packages impress furiously fluffily express asympt
2308,Customer#000002308,"6mRM8ogyRq7,RtCXkRiiOVNTjAcI3D",9,19-532-217-3147,5424.48,MACHINERY,accounts affix slyly against the express packages. pendin
2318,Customer#000002318,"19aeYCs39hEAcDwlJI1sI,te6",9,19-460-571-1712,9643.34,BUILDING,busily regular gifts wake aft
2463,Customer#000002463,COIvQeMbRrn9EcNIqo9m 9bGUF,1,11-912-262-7827,5102.85,AUTOMOBILE,ts. blithely final pains shall integrate quickly according to the slyly ironic packages-- packages dazzle s
2567,Customer#000002567," bagUO9wx2YMF2HfxzLLA7F,uyZDdvtfX3",5,15-368-483-7189,5600.22,FURNITURE," carefully even foxes unwind above the fluffily ironic excuses. bold, ex"
2866,Customer#000002866,ZzWHqZuvddi0V6iQouFj2D6iSmjV9OLoGIKR3,17,27-339-212-2249,1842.47,HOUSEHOLD,theodolites. special accounts according to the
3095,Customer#000003095,e11O45aAgMw5SdUB85YBuXgfN4eSF6x3abyW,11,21-847-218-8188,8829.21,BUILDING,"sly across the regular, final foxes. bold a"
3097,Customer#000003097,mr31Jx91Gml DVV4UpOWQ0okTze1JJAy,0,10-452-558-9617,-968.58,FURNITURE,ans haggle furiously permanent t
3149,Customer#000003149,"UuQEnFP,rGrnsl5OS6c2hO wU3DiwpSshWJc9K",24,34-107-257-1798,512.02,AUTOMOBILE,blithely ironic ideas-- blithely
3210,Customer#000003210,yQP00tLjOoYWl9a,13,23-601-699-5637,1150.04,BUILDING,"ending, bold packages. quickly regular packages"
3255,Customer#000003255,"UcFotJ5uNR9wKW,3ov",12,22-406-570-1005,6527.45,AUTOMOBILE," even, regular pains according to the ironic braids solve fluffily pending packages."
3692,Customer#000003692,"tBh,Q9Q8CWc2U,yxu",14,24-584-374-9329,93.27,HOUSEHOLD,ending requests poach furiously after the blithely quick foxes. f
3815,Customer#000003815,9V8i6Nnox5dg971B1VeWpo,19,29-968-870-7672,2887.99,FURNITURE,gside of the slyly special requests sleep q
4205,Customer#000004205,PXWX6F6tzHqkXKiInf9HH1pzJ,16,26-180-822-1374,-934.03,BUILDING,y even dolphins haggle past the furiously ironic packages. idly even deposits poach
4356,Customer#000004356,ESWI6bSc59KQDPPqKPgGk,8,18-724-678-5589,3841.16,BUILDING,as sleep regularly. dolphins 
4394,Customer#000004394,3lOBrSToMFZ7WZf,20,30-185-777-1464,1203.02,MACHINERY,kages nag blithely regular accounts. quickly express ideas cajole furiously abo
4498,Customer#000004498,2oQbX6FSI7cqdOud1n6qbKW6XrBuM0LVUq1,4,14-917-936-3356,9213.65,FURNITURE,"arefully even, special excuses. regular requests after the furiously regular foxes are alongsi"
4579,Customer#000004579,3IOm5xRTzD2 OBDWlTJB854exrQqh,0,10-545-417-3153,5753.66,FURNITURE,ly behind the regular theodolites. theodolites wake unusual accounts. quickly b
4635,Customer#000004635,"z2,MnxvNx7gvL",5,15-538-901-3614,4475.49,FURNITURE,ular instructions. blithely pending requests nag final
4687,Customer#000004687,xJLkyfv68VOcNvAqGWSYcM1pG,4,14-538-693-4140,8626.22,FURNITURE, cajole quickly above the ideas. carefully final deposits 
4712,Customer#000004712,"cx3WE2E,ojqIHL8ei4",2,12-269-758-4711,843.53,MACHINERY,tes above the furiously pending theodo
4751,Customer#000004751,6fId0wFiyfMij,10,20-266-623-6689,7039.91,BUILDING,regular theodolites. fluffily regular excuses poach idea
5208,Customer#000005208,"kleWHLcXLPdVSgwPFkaK9rRU,joh3MC319i",16,26-237-853-2299,6503.5,MACHINERY,s are quickly final accounts. even deposits sleep stealthily furiously ironic instructions. 
5246,Customer#000005246,9R97O3rDFrjBltoaOTi0q402wY22wIe,11,21-919-530-2428,3720.64,AUTOMOBILE,"s cajole. fluffily express pinto beans wake against the slyly even accounts. ironic, ironic excuses "
5300,Customer#000005300,UjBrZyqME1xjFK02VBe gFgbTqX44ltPfJx I,21,31-989-598-9193,3812.06,HOUSEHOLD,y regular platelets sleep blithely even pinto beans. carefully bold excuses wake aro
5467,Customer#000005467,kv3QbSegCpuWFnjr zaIx4K2K1g8nSU ,18,28-695-699-2265,2057.47,MACHINERY,"rding to the slyly bold requests sleep express, regular pinto beans. special, final "
5490,Customer#000005490,"b r,4m8PvI9wTNYZm0kYZFdFgFudHYSyI",2,12-168-181-7506,7583.18,FURNITURE,deposits. carefully even theodolites use carefully expres
5649,Customer#000005649,iRi0lMoGl0gENPXgyJvbKDw,20,30-654-364-2376,5349.19,AUTOMOBILE,blithely regular theodolites haggle furiously th
5656,Customer#000005656,4KQDlyHoSnp2lRhghzeiRy5gGmD0wdP1x5h9,1,11-241-280-1594,9828.74,MACHINERY,te. quickly bold packages boost carefully quickly bold deposits. dependencies are furiously after the furi
